,fromAddress,upgradeable,selfdestruct
88,0x047402ac98954e33687e382cc4af1883da415a93,1.0,
89,0x04745b484a10c46322f7657a2566f0b00f2d4991,1.0,
90,0x047e0cf5d36d07a2736ea65daf3c792228ca2509,1.0,
91,0x047fc84504714d526808be07bf17bdd70726ef92,1.0,
92,0x04850990a6ac3df2b88250dc2d56224645478d7d,1.0,
93,0x0486b8d96789c6938361ab776d6b27b6fc03c471,1.0,
94,0x048b1600e37b7b8bd59d36319f61b13837ffb07c,1.0,
95,0x048e2462f5e56a0d6a6d6cb7450e45bd783fceba,1.0,
96,0x049e119413ab1f1b0fd836e657e3e4ba3ad9cab8,1.0,
97,0x04a881bc07d98f4af0df1f33c595446cbee4158c,1.0,
98,0x04b35ef193e2357328ae79914569721a7ffd6146,1.0,
99,0x04be54ad7d7f6bb71d9c4a6e3bd8eeb808cb6d2c,1.0,
100,0x04c1ed360abf2852647ce2a1cbc800d1b664a9c9,1.0,
101,0x04cfbc89f161ee33f4984490b1b73a2d1548fa3d,1.0,
102,0x04d7aa22ef7181ee3142f5063e026af1bbbe5b96,1.0,
103,0x04e38f527891102229969b0825e070f6150366f8,1.0,
104,0x0508331c4883dc6a0ffc4e0b239a38a68787e21b,1.0,
105,0x051c9b2f06b96ce9606a391ee33c44d2d4b55727,1.0,
106,0x051caefa90adf261b8e8200920c83778b7b176b6,1.0,
107,0x051cf701dee594237fb088a64517f68693c7f712,1.0,
108,0x051e3a47724740d47042edc71c0ae81a35fdede9,1.0,
109,0x052dc3fcc0cb00b98bc6a467de0a780fbd2945ec,1.0,
110,0x0530525d4f9ae2c0bbcb87465993f8e4b951d2e5,1.0,
111,0x05387a10bb3ef789b6c2a9ce2d6c21d5a8c6b1aa,1.0,
112,0x05392d7b8cd4aad3a35ccb21648154e54f29f9db,1.0,
113,0x053c80ea73dc6941f518a68e2fc52ac45bde7c9c,1.0,
114,0x05462671c05adc39a6521fa60d5e9443e9e9d2b9,1.0,
115,0x058b555481b71957864a750f142104194fa2e917,1.0,
116,0x05946b1b80ce4de235350d8955c5c751860d5399,1.0,
117,0x05aecf7925d81f5cd180fb4cc702615949b8586d,1.0,
118,0x05b1d5b3ad20769b3b71b658a1df2290cd5a2376,1.0,
119,0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,1.0,
120,0x05bbed16620b352a7f889e23e3cf427d1d379ffe,1.0,
121,0x05c428e594d2d1601c0f52f5fcd7d4fc6a1c328c,1.0,
122,0x05dd55c18999b4a2f905978c029b85da37750170,1.0,
123,0x05f18a64dac5d00c4e4af42976975c276ce0c64d,1.0,
124,0x060761f9cb55b174c51cab2d23653da57e50424c,1.0,
125,0x06091ea5d609c30efce01ff2975303a6739cf7c6,1.0,
126,0x060d4a10f3154bd06005f0224a153b4f967a39c7,1.0,
127,0x0613152576d56176663d911e8b73cdcb58e3aa5f,1.0,
128,0x0635a20e091ad352301e0e7f0039a61518e4dc17,1.0,
129,0x063afb6c910b8578b6286498ca19bcd989ecc141,1.0,
130,0x0652db986e8b53bdecd8d4ac539d312fae71f0bb,1.0,
131,0x066b7660b2003793fb2ffd0b8152158c016fbfef,1.0,
132,0x067cff184d212909795a300b72c6e5469457f4e5,1.0,
133,0x06890d4c65a4cb75be73d7ccb4a8ee7962819e81,1.0,
134,0x068b517d713dc32f5793bfb213f5a55e4f50ee77,1.0,
135,0x069565e3fa40933ab9c9c8a4f79fbc19d2107172,1.0,
136,0x06af4e395b33fd7b017e45e081e38c939f7cdef0,1.0,
137,0x06bfb67c40446b1f29ff23a7d11a72dd0a27ed97,1.0,
138,0x06d0ccbfa6f1eec7ca61288f8545efd977384c70,1.0,
139,0x06d0e5aee443093ac5635b709c8a01342e59df19,1.0,
140,0x06dd71dab27c1a3e0b172d53735f00bf1a66eb79,1.0,
141,0x07150e919b4de5fd6a63de1f9384828396f25fdc,1.0,
142,0x0728354818bb61690abdcee7b443f0df7532be0a,1.0,
143,0x072e99574c22da9bd5068661992cb0ad3d8a8a5f,1.0,
144,0x073a15e5b774f94946071f95e50df29e773abee9,1.0,
145,0x0753a2cb4a795f5d17a6c40da0e791d60f30fdc9,1.0,
146,0x075933675c4d9242e68d519c804b400ade4dafbb,1.0,
147,0x075a8bfdee4ef858c7ca0ca66fe3b187ed634dcb,1.0,
148,0x07a98a325de043f78950f9654befc6df2bd13eca,1.0,
149,0x07abe965500a49370d331ecd613c7ac47dd6e547,1.0,
150,0x07b4ee4976f6b36fbee2ba7889fec0616b5f946d,1.0,
151,0x07c5a34f5b97250ded784ae4c7b394aed204ddc0,1.0,
152,0x07cf2e8150e442e74fa8a9c42b54d96fda1c6d75,1.0,
153,0x07d4c22e397ffc39c4d1041cf968849500516f43,1.0,
154,0x07dbe6aa35ef70dad124f4e2b748ffa6c9e1963a,1.0,
155,0x07e166308ccfb9b70594383c1bb948e8cece0595,1.0,
156,0x07e47d03dafaa9020e1fec5a05c4e950d80f5e6d,1.0,
157,0x07ec35051431289a08648eacf33bd849bc44c0b9,1.0,
158,0x07f89875b1f142abcba60ff1d7fcfb7fe404d4ed,1.0,
159,0x08051cadbb9c839f87800ca785f71eb3d593d25e,1.0,
160,0x08130635368aa28b217a4dfb68e1bf8dc525621c,1.0,
161,0x0818000b9194ce99c3c0f12c2ec8c96077b6c72b,1.0,
162,0x082dc075f8556ddd4e2a9f61fd6145b490ab1558,1.0,
163,0x08324168f4309b93fd22e5ed78985e8e708b5607,1.0,
164,0x0832db20a327223602c84b760d2f6a50bf8c654d,1.0,
